Cliente,Nombre                             ,DISTRITO                  ,Latitud             ,Longitud            ,C.Sumin
6240479,HIPERMERCADOS TOTTUS SA,LURIGANCHO,-11.99779,-76.921479,0374
6240480,HIPERMERCADOS TOTTUS SA,LURIGANCHO,-11.99779,-76.921479,0374
6240485,METRO INDEPENDENCIA H013,INDEPENDENCIA,-11.987407,-77.064203,0374
6240486,METRO CHORRILLOS H001,CHORRILLOS,-12.17064242,-77.01251828,0374
6240487,VIVANDA DOS DE MAYO,SAN ISIDRO,-12.092159,-77.045632,0374
6240488,VIVANDA BENAVIDES,MIRAFLORES,-12.124542,-77.028054,0374
6240489,VIVANDA ENCALADA,SANTIAGO DE SURCO,-12.10903273,-76.97226516,0374
6240490,VIVANDA PARDO,MIRAFLORES,-12.119252,-77.036078,0374
6240491,SUPER VEA CHORRILLOS,CHORRILLOS,-12.196812,-77.011472,0374
6240492,VIVANDA LIBERTADORES,SAN ISIDRO,-12.103728,-77.037939,0374
6240494,VIVANDA PEZET,SAN ISIDRO,-12.10251126,-77.05214626,0374
6240905,PLAZA VEA CHOSICA,LURIGANCHO,-11.940355,-76.699793,0374
6240917,HIPERMERCADOS TOTTUS SA,LURIGANCHO,-11.99779,-76.921479,0374
6240962,METRO SAN FELIPE S035,JESUS MARIA,-12.08681485,-77.05396612,0374
6240963,METRO FAUCETT S032,SAN MIGUEL,-12.06298609,-77.0963088,0374
6240964,WONG SAN MIGUEL T109,SAN MIGUEL,-12.0774,-77.083182,0374
6240965,WONG RETAMAS T108,LA MOLINA,-12.09163284,-76.95081572,0374
6240966,WONG OVALO T102,MIRAFLORES,-12.10988323,-77.03617581,0374
6240975,METRO ENATA S034,LIMA,,,0374
6241004,HIPERMERCADOS TOTTUS SA,LURIGANCHO,-11.99779,-76.921479,0374
6241197,WONG MAQUINARIAS T121,SANTIAGO DE SURCO,-12.14252551,-76.99030862,0374
6241480,HIPERMERCADOS TOTTUS SA,LURIGANCHO,-11.99779,-76.921479,0374
6241596,PLAZA VEA GUARDIA CIVIL,CHORRILLOS,-12.17197,-76.992196,0374
6241698,METRO HUAYLAS S038,CHORRILLOS,,,0374
6241707,METRO CHACLACAYO S047,SANTA ANITA,,,0374
6241708,METRO CHACLACAYO S047,CHACLACAYO,,,0374
6241760,PLAZA VEA VILLA EL SALVADOR,VILLA EL SALVADOR,-12.23083412,-76.91025967,0374
6241949,WONG BAJADA BALTA T120,MIRAFLORES,-12.122811,-77.03205227,0374
6242061,HIPERMERCADOS TOTTUS SA,LURIGANCHO,-11.99779,-76.921479,0374
6242110,PLAZA VEA LURIN,LURIN,-12.255903,-76.874532,0374
6242112,HIPERMERCADOS TOTTUS SA,LURIGANCHO,-11.99779,-76.921479,0374
6242246,PLAZA VEA GRIFO KIO,LURIN,,,0374
6242247,PLAZA VEA ALCAZAR,RIMAC,-12.029268,-77.031081,0374
6242243,PLAZA VEA SAN BORJA,SAN BORJA,-12.104476,-76.990191,0374
6242271,METRO MIOTTA S029,SAN JUAN DE MIRAFLORES,-12.1677964,-76.97848632,0374
6242752,HIPERMERCADOS TOTTUS SA,LURIGANCHO,-11.99779,-76.921479,0374
6242777,PLAZA VEA BRE A,BRE A,-12.065695,-77.048073,0374
6243000,PLAZA VEA SALAVERRY,JESUS MARIA,-12.089335,-77.051745,0374
6243095,PLAZA VEA SAN ISIDRO,SAN ISIDRO,-12.097301,-77.026081,0374
6243137,PLAZA VEA VENTANILLA,VENTANILLA,-11.872437,-77.126916,0374
6243335,HIPERMERCADOS TOTTUS SA,LURIGANCHO,-11.99779,-76.921479,0374
6243779,HIPERMERCADOS TOTTUS SA,LURIGANCHO,-11.99779,-76.921479,0374
6243788,HIPERMERCADOS TOTTUS SA,LURIGANCHO,-11.99779,-76.921479,0374
6243826,PLAZA VEA CHACLACAYO,CHACLACAYO,-11.97611134,-76.77167085,0374
6244155,WONG MUSA T130,LA MOLINA,-12.08568614,-76.90248938,0374
6244237,WONG PANORAMA,SANTIAGO DE SURCO,-12.08276985,-76.96835686,0374
6244271,PLAZA VEA LA CURVA,VILLA MARIA DEL TRIUNFO,-12.180293,-76.943061,0374
6244466,PLAZA VEA PLACITA,VILLA EL SALVADOR,-12.203227,-76.93201,0374
6244746,HIPERMERCADOS TOTTUS SA,LURIGANCHO,-11.99779,-76.921479,0374
6244831,PLAZA VEA SUCRE,PUEBLO LIBRE,-12.075473,-77.063735,0374
6244987,SUPERMERCADO METRO SANTA CLARA,ATE,-12.01593,-76.88892,0374
6245111,PLAZA VEA PURUCHUCO,ATE,-11.98851,-76.81677,0374
6246491,HIPERMERCADOS TOTTUS SA,LURIGANCHO,-11.99779,-76.921479,0374
6248414,HIPERMERCADOS TOTTUS SA,LURIGANCHO,-11.99779,-76.921479,0374
6248956,SUPERMERCADOS PERUANOS SA,SAN JUAN DE LURIGANCHO,-12.016932,-76.9996379,0374
6245169,CENCOSUD RETAIL PERU SA,SAN MARTIN DE PORRES,-12.0061552,-77.06085239,0752
6245171,SUPERMERCADOS PERUANOS S.A.,COMAS,-11.940498,-77.070582,0752
6245178,CENCOSUD RETAIL PERU SA,CHORRILLOS,-12.17064242,-77.01251828,0752
6245179,CENCOSUD RETAIL PERU SA,BRE A,-12.054307,-77.042429,0752
6245180,SUPERMERCADOS PERUANOS S.A.,LIMA,-12.049088,-77.035561,0752
6245181,CENCOSUD RETAIL PERU SA,SAN BORJA,-12.10872983,-77.0019926,0752
6245182,CENCOSUD RETAIL PERU SA,SAN MIGUEL,-12.077654,-77.090583,0752
6245183,CENCOSUD RETAIL PERU SA,SAN JUAN DE LURIGANCHO,-12.007111,-77.004826,0752
